claim_id,claim_date,sale_id,repair_status
CL_0001,17-04-2025,DR-49575,Rejected
CL_0002,15-01-2025,FC-315363,Pending
CL_0003,03-04-2025,NG-493213,Completed
CL_0004,05-02-2025,UL-5951,Rejected
CL_0005,02-10-2024,DT-18684,In Progress
CL_0006,10-10-2024,GE-35978,Pending
CL_0007,15-06-2025,TT-433171,Pending
CL_0008,06-04-2025,SE-11826,Rejected
CL_0009,10-11-2024,JJ-057520,In Progress
CL_0010,05-06-2025,SL-810669,Rejected
CL_0011,11-10-2024,YO-23292,Completed
CL_0012,19-03-2025,TG-72168,In Progress
CL_0013,14-07-2025,LF-0856,Rejected
CL_0014,17-03-2025,MV-74903,Rejected
CL_0015,11-01-2025,CF-66125,Rejected
CL_0016,18-10-2024,MU-96897,Pending
CL_0017,02-01-2025,LY-3410,In Progress
CL_0018,23-07-2025,US-0045,Pending
CL_0019,19-10-2024,MJ-3685,In Progress
CL_0020,08-09-2025,IM-0052,In Progress
CL_0021,09-10-2024,NH-6910,Pending
CL_0022,31-03-2025,WZ-04223,In Progress
CL_0023,04-03-2025,MK-29220,Completed
CL_0024,17-04-2025,CJ-207429,Completed
CL_0025,02-07-2025,FE-880250,In Progress
CL_0026,05-06-2025,DH-35394,Pending
CL_0027,03-05-2025,IO-3331,In Progress
CL_0028,08-03-2025,QY-35144,In Progress
CL_0029,31-12-2024,LE-0299,Completed
CL_0030,10-03-2025,TU-2309,Completed
CL_0031,01-11-2024,UX-530766,In Progress
CL_0032,07-04-2025,AY-844745,Rejected
CL_0033,19-09-2024,CC-1933,Rejected
CL_0034,05-09-2025,DS-8771,Completed
CL_0035,01-08-2025,QR-603871,In Progress
CL_0036,10-12-2024,CV-4215,Rejected
CL_0037,24-10-2024,BZ-18069,In Progress
CL_0038,28-05-2025,FP-19014,Pending
CL_0039,18-07-2025,JC-025722,In Progress
CL_0040,31-08-2025,ZP-65124,Completed
CL_0041,27-02-2025,RH-056981,Rejected
CL_0042,27-04-2025,SO-80035,Rejected
CL_0043,01-09-2025,ZJ-832057,In Progress
CL_0044,25-10-2024,TP-27721,Pending
CL_0045,28-02-2025,OV-742584,Rejected
CL_0046,23-09-2024,HX-6397,Rejected
CL_0047,15-02-2025,ZO-945898,In Progress
CL_0048,15-12-2024,FB-54962,Rejected
CL_0049,13-08-2025,XW-723020,In Progress
CL_0050,29-09-2024,RP-06543,In Progress
CL_0051,06-12-2024,QZ-564733,In Progress
CL_0052,29-08-2025,YR-7445,In Progress
CL_0053,20-05-2025,NH-61418,In Progress
CL_0054,26-08-2025,QK-5992,Rejected
CL_0055,25-01-2025,QG-8584,Rejected
CL_0056,23-10-2024,ZU-43286,Rejected
CL_0057,21-06-2025,FS-4874,Completed
CL_0058,23-10-2024,JL-211395,Rejected
